BioID,Diseased1,Diseased2,Diseased3,Diseased4,Diseased5,Diseased6,Diseased7,Diseased8,Diseased9
Protein1,1397.594812,1361.448505,1273.236058,1575.035436,844.1155594,736.107618,697.0934858,567.4150091,941.7638889
Protein2,70.95481355,44.23754246,55.04591981,94.36799904,54.24907194,43.9678924,76.73095482,74.32592771,61.66311177
Protein3,933.1633054,886.2762817,974.0734505,1022.240152,1079.556532,1153.093436,1158.926969,1262.634357,1091.51716
Protein4,38.70262557,29.74593372,34.70286249,33.05275093,22.78461022,19.85646754,38.36547741,38.06937761,55.25655471
Protein5,339.7230467,252.4590785,283.6061521,467.0497414,427.4826869,338.9782672,504.5422218,705.1898995,370.7794903
Protein6,1157.853548,954.1580279,1007.579663,1374.802829,1214.09423,1643.831848,1274.747278,1420.35035,1496.731895
Protein7,75.25510528,80.84792243,75.38897713,107.7807096,64.01390489,42.54957329,41.98486207,38.97579136,44.84589947
Protein8,2416.763952,2272.894423,2124.054514,2195.373297,2225.296931,2019.686412,2999.746007,2508.953267,1811.454011
Protein9,68.80466768,69.40717869,65.81577368,74.24893325,79.20364503,75.17091282,55.73852379,87.01572024,88.09015967
Protein10,9.675656393,12.20345999,16.75310603,18.68198966,23.86959165,11.34655288,26.05956956,28.09882633,20.82131047
Protein11,159.110794,155.5941149,202.2339228,198.795531,156.2373272,116.302167,146.9470173,112.3953053,134.5376984
Protein12,115.0328038,96.86496367,112.4851405,140.3544351,100.9032738,58.1510835,83.96972414,86.10930649,103.3057327
Protein13,864.3586377,919.0730805,1013.562915,1104.153491,1222.774082,1174.368223,1006.912813,1211.875187,1317.348297
Protein14,1133.126871,1018.226193,1096.131794,1083.5554,1188.054675,1041.046227,1137.934538,1121.233812,1060.285195
Protein15,1387.919156,1387.380858,1339.051832,1385.820412,1322.592374,1296.343666,1803.901315,1646.047375,1541.577794
Protein16,3003.753773,3508.494747,2967.693068,2555.60038,2969.594198,3076.334149,2990.335607,2625.880641,2377.633492
Protein17,371.9752347,382.1208409,387.7147395,412.919874,442.672427,381.5278405,351.8041891,377.0681211,373.1819492
Protein18,301.0204211,248.6454973,272.8362982,257.7156522,382.9984479,307.7752468,219.3347105,241.1060582,273.079495
Protein19,2369.460743,2798.405919,2450.740082,2027.235391,2542.111511,2411.142487,2351.152276,2207.117487,1941.186791
Protein20,2611.352153,2324.759128,2252.09611,2075.616953,2570.321029,2270.728895,2346.809014,2405.622099,1907.552367
Protein21,231.1406805,242.5437673,252.4932409,249.0931954,281.0101927,211.3295474,209.9243104,167.6865442,188.9934335
Protein22,65.57944888,77.03434118,90.94543273,108.2597349,69.43881208,70.91595549,75.28320096,69.79385895,91.29343821
Protein23,148.3600647,155.5941149,195.0540202,196.4004041,316.8145801,269.4806309,128.8500939,208.4751631,200.2049084
Protein24,1046.045963,1015.938044,1018.349516,991.1035026,1091.491327,1385.69777,1180.643277,985.271749,912.9343821
Protein25,40.85277144,32.79679872,34.70286249,60.83622273,54.24907194,25.52974398,37.64160048,56.19765266,60.06147251
Protein26,8.60058346,0,0,5.74830451,1.084981439,0,1.447753865,0,0.800819633
Protein27,584.8396753,601.7831207,599.5218657,433.9969905,390.593318,611.2955363,439.3932979,416.0439124,624.6393141
Protein28,7580.339247,8581.320521,9751.504359,9660.504754,6663.955997,3290.500335,5814.903397,4918.201021,6449.000508
Protein29,14657.54436,21005.96822,25908.67847,17312.93513,19747.74717,13215.89746,14990.76739,12425.11972,17807.02537
Protein30,2977.952023,3780.021732,4078.184668,4526.310776,3254.944316,1609.79219,1994.280948,1949.695982,3415.495736
Protein31,78714.68997,70729.72867,124972.1877,90923.32756,148694.5362,135538.8291,82194.77791,103479.8196,143722.2988
Protein32,1061.096984,1250.091933,1300.759018,1268.938221,1611.197437,1492.071703,1431.104695,1337.866699,1684.924509
Protein33,268.7682331,263.137106,347.0286249,446.9306757,461.1171115,329.0500335,377.8637586,502.1532189,471.6827641
Protein34,1439.522657,1746.620211,1806.94215,1543.419761,1160.93014,1280.742156,986.6442587,871.0636162,1826.669584
Protein35,1458.873969,1726.789589,1404.867606,1428.932696,1306.317652,1316.200134,1805.349069,1369.59118,1105.931914
