BioID,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9
Protein1,607.9248276,791.9378157,1182.916367,1209.787388,1308.005401,2258.325273,458.8391495,447.9344813,460.9415125
Protein2,67.54720307,77.7048268,98.99943845,60.37892016,23.08244826,53.15309937,109.5114587,113.8194174,62.58790505
Protein3,1373.026801,1293.99475,1153.724225,1129.527604,1012.550064,971.7476885,1595.540366,1492.503005,1253.230758
Protein4,35.07258621,23.2649182,26.65369497,21.35352055,18.46595861,25.89509969,29.11064091,22.94746318,27.9804752
Protein5,255.8999808,222.412618,260.1908318,291.5860047,472.4207743,414.3215951,728.4591332,621.4173029,299.6856159
Protein6,922.2791188,1012.023942,1057.263234,978.5803036,980.234636,1251.142185,699.3484923,812.3401966,865.9220745
Protein7,137.6923755,140.520106,158.6529462,94.98635001,46.16489651,64.05629924,128.2254421,30.2906514,65.53321823
Protein8,3743.673831,3452.97916,2591.75453,3446.752747,2202.065564,1486.923882,4260.55023,3396.224551,3776.627823
Protein9,70.14517241,83.28840717,96.46099131,134.7480779,93.86862291,134.9270984,264.7682102,307.4960066,264.3418578
Protein10,11.69086207,8.375370553,20.30757712,11.04492442,1.538829884,9.540299887,11.78287846,7.343188217,11.04492442
Protein11,161.0740996,115.8592927,92.6533206,237.0977109,160.0383079,177.1769979,108.1252377,9.178985272,157.5742551
Protein12,77.93908046,117.7204861,106.6147799,89.09572366,66.169685,110.3948987,99.11480119,67.00659248,58.90626357
Protein13,724.8334483,649.5565162,739.9573413,880.6486404,918.6814406,947.2154888,741.6282326,750.8409952,832.050973
Protein14,967.7435824,956.1881382,849.1105683,1203.896762,1340.320829,1287.940485,1397.310764,1089.545552,1223.777626
Protein15,1532.801916,1360.532417,1385.992138,1033.068597,1038.710172,1098.497387,1375.131228,1343.803444,1304.03741
Protein16,4229.4941,4004.82302,3580.479691,3603.590674,2991.485294,2352.365372,3873.794572,3197.04057,3568.246916
Protein17,381.9014943,325.2435565,379.4978474,343.1289853,296.9941676,351.6281959,415.8662987,252.422095,315.8848384
Protein18,245.5081034,274.5260348,267.8061733,307.7852272,283.1446986,283.4831967,347.9414699,218.4598495,215.007862
Protein19,3835.901743,3257.553847,3292.36594,2327.533739,1848.13469,1580.963981,2653.920096,2135.949873,2636.791623
Protein20,3072.098755,2653.59657,2684.40785,2405.584539,2340.560253,2323.744473,3021.96177,3160.324629,2464.490802
Protein21,239.0131801,202.4047884,246.2293726,252.5606051,207.7420343,264.4025969,292.4926301,130.3415909,189.2363717
Protein22,79.23806513,126.0958567,135.806922,64.06056164,66.169685,92.67719891,92.18369621,49.56652047,42.70704109
Protein23,76.64009579,72.12124643,92.6533206,98.66799149,132.33937,118.5722986,36.04174589,30.2906514,44.17969768
Protein24,1654.906475,1749.056551,1710.913372,1435.103846,987.9287854,787.7561907,3314.4544,2778.478842,1896.045359
Protein25,20.78375479,32.57088549,30.46136568,45.65235427,50.78138617,50.42729941,33.26930389,37.63383961,35.34375814
Protein26,10.39187739,8.375370553,0,7.363282947,1.538829884,14.99189982,34.65552489,81.69296892,11.78125271
Protein27,462.4385441,462.5065739,577.4967243,466.0958105,617.0707834,558.7889934,283.4821936,380.9278888,569.9181001
Protein28,5606.417854,6778.001269,10240.09576,6258.054176,5545.942901,9784.258985,4065.09307,2125.852989,2618.383416
Protein29,13792.61927,13337.77761,20996.76552,10420.51803,7923.435072,11487.88396,6314.929745,959.2039609,7162.265322
Protein30,1970.559751,2921.14313,4117.361261,2426.938059,2817.597517,5188.560239,1084.717929,770.1168643,966.0627226
Protein31,41571.40653,31268.51536,56721.60134,53478.78771,69933.6629,70182.53467,31533.75521,26943.99337,18023.844
Protein32,920.9801341,824.5087011,861.802804,994.7795261,943.3027188,765.949791,1029.269089,670.0659248,950.5998284
Protein33,231.219272,249.8652215,318.5751161,669.3224199,572.4447168,587.4098931,870.5467852,751.7588938,390.2539962
Protein34,1165.189253,1646.225612,2114.526468,2300.289593,2123.58524,2962.944565,1724.458919,1939.519588,2080.127432
Protein35,1786.103927,1824.900184,1538.298967,1575.742551,1412.645833,1050.795888,1886.646775,1479.652426,2072.027821
