BioID,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9
RNA1,966.4445977,900.3523345,856.7259097,751.7911889,834.045797,791.8448907,922.5300726,944.5175845,879.1759838
RNA2,18.18578544,20.47312802,12.6922357,14.72656589,9.232979303,42.2498995,20.10020444,22.94746318,10.30859613
RNA3,101.3208046,83.28840717,90.11487347,55.2246221,55.39787582,65.41919923,90.79747521,106.4762292,97.93166319
RNA4,25.97969349,32.57088549,24.11524783,19.88086396,13.84946895,20.44349976,51.98328734,35.79804256,16.19922248
RNA5,1161.292299,987.3631286,1042.032551,846.0412106,780.1867511,891.3365895,1093.035255,927.0775125,1089.765876
RNA6,884.6085632,770.0687925,745.0342355,603.0528733,563.2117375,616.0307927,603.6992436,626.9246941,740.7462644
RNA7,48.06243295,42.80744949,49.49971923,49.33399574,61.55319535,99.49169883,58.22128182,73.43188217,46.38868256
RNA8,3932.026609,3611.645902,3817.824498,2666.981083,2535.991649,2232.430174,2617.87835,2667.41312,3693.422726
RNA9,171.465977,128.8876468,329.9981282,217.9531752,260.0622504,279.3944967,49.90395584,57.82760721,112.6582291
RNA10,79.23806513,116.7898894,91.38409704,150.9473004,96.94628268,125.3867985,187.8329449,134.9310835,111.9219008
RNA11,222.1263793,212.176054,195.4604298,114.1308857,70.78617466,61.33049928,158.0291935,46.81282489,122.2304969
RNA12,6.494923372,18.61193456,24.11524783,0.736328295,7.694149419,4.088699952,2.772441991,12.85057938,5.154298063
RNA13,64.94923372,43.27274786,48.23049566,154.6289419,73.86383442,59.96759929,54.06261883,34.88014403,81.73244071
RNA14,38.96954023,27.91790184,31.73058925,39.76172791,32.31542756,53.15309937,50.59706634,35.79804256,30.18946008
RNA15,49.36141762,26.52200675,45.69204852,42.70704109,24.62127814,83.13689902,72.08349177,39.46963667,42.70704109
RNA16,2727.867816,2621.956282,2622.215895,2708.215468,2743.733683,2513.18757,2453.611162,2441.610082,2706.742811
RNA17,57.15532567,101.4350434,65.99962564,82.468769,67.70851489,55.87889934,70.69727078,91.78985272,44.17969768
RNA18,648.1933525,530.440135,559.7275943,461.6778408,407.7899192,363.8942957,429.0353981,423.151221,477.8770632
RNA19,1851.053161,1769.994977,1434.222634,1610.34998,1537.291054,1309.746885,1731.390024,1386.944675,1342.326481
RNA20,67.54720307,47.46043314,44.42282495,63.32423334,56.9367057,53.15309937,87.33192272,59.66340427,67.74220311
RNA21,12.98984674,11.6324591,7.61534142,24.29883372,10.77180919,8.177399904,9.703546969,7.343188217,30.18946008
RNA22,63.65024904,86.54549572,83.76875562,83.2050973,69.24734477,70.87079916,97.72858019,52.32021605,57.43360698
RNA23,652.0903065,643.9729359,647.3040207,767.9904113,560.1340777,635.1113925,1011.248216,653.5437514,689.9396121
RNA24,11.69086207,15.82014438,19.03835355,30.18946008,27.69893791,53.15309937,24.95197792,22.94746318,11.78125271
RNA25,4119.080402,4266.785999,4003.13114,4934.872231,5758.301425,4076.433852,5142.186783,5232.021605,5149.880093
RNA26,313.0553065,271.7342446,328.7289046,234.1523977,233.9021423,190.8059977,347.9414699,359.8162227,211.3262206
RNA27,1205.457778,1313.071983,1102.955282,1201.687777,1255.685185,1178.908486,1599.005918,1873.430894,1516.836287
RNA28,427.3659579,385.2670455,402.3438717,388.0450113,395.4792801,374.7974956,496.9602269,482.8146253,418.9707997
RNA29,1154.797375,1205.122763,1222.262298,1125.109634,1149.505923,1395.609584,1906.746979,2200.20277,1196.533479
RNA30,24.68070881,26.98730512,25.3844714,34.60742985,29.23776779,38.16119955,47.13151385,29.37275287,12.51758101
RNA31,409.1801724,382.4752553,413.7668838,400.5625923,389.3239606,389.7893954,470.622028,426.8228151,484.5040179
RNA32,201.3426245,188.4458375,182.7681941,125.1758101,123.1063907,132.2012984,182.2880609,159.7143437,187.7637151
RNA33,4910.162069,4860.041413,5059.12515,5668.255212,5912.184414,4455.320047,4148.266329,4282.914528,5185.960179
RNA34,32.47461686,23.73021657,25.3844714,22.08984884,21.54361837,25.89509969,54.06261883,23.86536171,24.29883372
RNA35,594.9349808,472.2778395,517.8432165,443.2696334,417.0228985,389.7893954,412.4007462,391.9426711,480.0860481
RNA36,271.4877969,240.5592542,266.5369497,209.853564,224.669163,173.088298,212.0918123,212.9524583,194.3906698
RNA37,101.3208046,118.6510828,120.5762391,99.40431978,127.7228804,98.12879884,121.9874476,163.3859378,128.1211233
RNA38,568.9552874,590.9289224,600.3427486,589.0626357,429.3335376,453.8456946,813.7117244,633.3499838,509.5391799
RNA39,475.4283908,379.6834651,417.5745545,456.5235427,557.0564179,448.3940947,511.5155474,490.1578135,388.0450113
RNA40,103.9187739,111.206309,90.11487347,75.84181435,66.169685,80.41109905,76.93526526,55.99181016,68.4785314
RNA41,149.3832375,83.75370553,69.80729635,50.07032404,55.39787582,40.88699952,28.41753041,6.42528969,36.08008644
RNA42,1037.888755,818.4598224,987.4559374,728.2286834,586.2941857,599.6759929,937.7785035,805.9149069,765.0450982
RNA43,15.58781609,13.95895092,12.6922357,16.93555078,21.54361837,21.80639974,26.33819892,23.86536171,16.19922248
RNA44,146.7852682,140.9854043,139.6145927,112.6582291,100.0239424,126.7496985,163.5740775,106.4762292,105.2949461
RNA45,435.1598659,352.69616,394.7285302,347.5469551,353.9308733,337.999196,381.2107738,380.0099903,313.6758535
