BioID,Diseased1,Diseased2,Diseased3,Diseased4,Diseased5,Diseased6,Diseased7,Diseased8,Diseased9
miRNA1,966.4905663,1056.362005,977.6634018,972.4215129,998.1829237,921.9074214,1259.545862,1126.672294,881.7024164
miRNA2,588.0648941,661.2749882,540.8859946,616.9846841,405.7830581,354.5797774,1129.971891,718.7861058,464.4753874
miRNA3,653.644343,576.6134845,607.8984187,621.2959125,637.969086,601.3673025,1011.979951,733.2887258,648.6639031
miRNA4,3049.98191,3240.018627,3381.734117,3661.190947,3805.029906,3843.644787,4469.21618,4656.247447,4174.672749
miRNA5,25.80175038,25.93235248,17.94975646,42.15423307,22.78461022,28.3663822,28.23120036,37.16296385,44.84589947
miRNA6,35.47740677,42.71210996,47.86601722,64.18940036,103.0732367,93.60906124,68.04443163,72.5131002,62.46393141
miRNA7,6105.339184,6414.443657,6144.799961,5217.544394,4559.092006,4324.454966,7360.380647,6613.194739,4874.589109
miRNA8,1347.066384,1321.78726,1392.901101,1474.440107,1523.31394,1673.61655,1620.036574,2151.826249,1994.040887
miRNA9,3844.460807,3921.124238,4071.004765,4311.707408,4547.15721,4707.401125,4504.68615,5015.187293,4605.513712
miRNA10,610.6414257,583.4779308,593.5386136,595.9075675,606.5046243,858.0830614,952.6220429,772.2645172,844.0638936
miRNA11,83.85568874,48.81383996,68.20907454,70.89575562,61.84394201,24.11142487,73.83544709,84.29647899,61.66311177
miRNA12,4.30029173,3.050864997,1.196650431,12.93368515,1.084981439,1.41831911,7.962646255,7.25131002,4.004098167
miRNA13,3.225218798,1.525432499,1.196650431,8.143431389,2.169962878,1.41831911,7.238769323,0,0.800819633
miRNA14,355.8491407,293.645756,378.1415361,399.9861888,476.3068516,429.7506903,443.0126826,535.6905278,415.6253897
miRNA15,60.20408422,58.7291512,62.22582239,68.02160337,60.75896057,28.3663822,34.02221582,49.85275639,32.83360497
miRNA16,5428.043236,4174.346033,5274.835098,4175.664201,3956.927307,2989.816683,3903.868296,4087.926024,2389.645786
miRNA17,509.58457,462.2060471,573.1955563,513.5152029,648.8189004,693.5580447,624.7057926,658.0563843,553.3663667
miRNA18,5262.482005,5920.966244,7373.759953,6928.623036,8131.935884,8756.702184,6999.166058,9998.650104,11016.07488
miRNA19,341.8731925,264.6625385,606.7017683,383.699326,698.7280466,1014.098163,381.4831433,572.8534916,1199.627811
miRNA20,366.59987,347.7986097,343.4386736,345.8563214,340.6841718,290.7554175,328.6401273,377.0681211,338.7467049
